"subject_id","trial","block","condition","stim1","size","position","gabor.contrast","response","expected_response","rt_gabor","max_speed","x_pos","y_pos","center_dist","total_dist","accuracy_gabor","avr_speed","move_start_time","OOZ_time","SDT","pressed_conf","conf","rt_conf","trial_start_time_rel2exp","exp_start_date"
1,67,3,"A",0,"big","mid",0.043,"left","right",2.152,56.8201753975463,-14.1878,-0.5874,1.00231268277309,15.8080992823843,0,6.59865641619192,1.0035328999993,1.24174369999946,"miss","BR",2,2.0881,428160,NA
1,68,3,"A",90,"big","down",0.043,"left","left",2.533,55.5587481593227,-10.5731,-8.7657,1.44599594632825,14.6366822117054,1,5.42204431334006,1.28814280000006,1.87192980000054,"CR","BL",2,1.2764,434744,NA
1,69,3,"A",90,"big","up",0.043,"right","left",1.7664,51.5434544225918,10.7087,7.4102,2.04816740374776,13.1323705988382,0,7.37254433183871,0.822319599999901,1.13755760000004,"FA","TR",1,1.244,440893,NA
1,70,3,"A",0,"small","mid",0.043,"right","right",2.5671,55.6437163003865,15.0238,-0.0452,0.0510465425510903,16.5952326577625,1,5.85244649640859,0.918663399999787,1.61963809999997,"hit","BR",3,2.042,446243,NA
1,71,3,"A",0,"big","down",0.043,"right","right",2.2998,44.2875733297262,10.7313,-8.3817,1.41140120691139,13.8585053929119,1,5.92068625835898,0.620918999999958,1.45473020000009,"hit","TL",2,0.9303,453193,NA
1,72,3,"A",0,"big","up",0.043,"right","right",1.9327,71.7984965358392,11.1831,7.7491,1.49402315256535,13.6809787467391,1,7.03951461427801,1.16957970000021,1.23843529999976,"hit","TR",4,1.1628,458560,NA
1,73,4,"A",90,"big","up",0.043,"right","left",2.0335,83.3877022325584,11.8383,7.6813,1.3285647765418,16.2595042604169,0,6.93961219144046,0.854987300000175,1.3056602000006,"FA","TR",1,1.4597,486358,NA
1,74,4,"A",90,"big","down",0.043,"left","left",2.1515,38.3791085476837,-11.409,-7.478,1.63272341709355,13.7878691482781,1,6.34031786276477,1.32124589999967,1.5388211999998,"CR","TL",1,0.941,492195,NA
1,75,4,"A",0,"big","down",0.043,"left","right",1.9006,70.5487664280249,-10.5053,-8.1106,1.73929009572081,13.5374084397878,0,6.98305853529333,0.742491599999994,1.25498630000038,"miss","TR",2,1.3597,502874,NA
1,76,4,"A",0,"big","mid",0.043,"right","right",1.2675,48.9732021920052,12.8097,-0.5648,2.26192542378929,13.0360315804768,1,10.1158099832044,0.673020899999756,0.755772000000434,"hit","BR",4,1.0446,508476,NA
1,77,4,"A",0,"big","down",0.043,"right","right",1.9999,51.0828891090909,10.6861,-8.2235,1.52621436002979,14.9746087684593,1,6.74242554034723,0.785876900000403,1.32252359999984,"hit","TR",2,1.8274,513125,NA
1,78,4,"A",0,"small","up",0.043,"right","right",2.2998,48.923105763186,12.0642,9.1046,0.122739494837722,16.9802905155432,1,6.57208194823516,0.955064900000252,1.10460169999988,"hit","TL",2,2.0793,519091,NA
1,79,4,"A",90,"big","mid",0.043,"left","left",1.5168,55.6521781510964,-13.6456,0.1356,1.36113354315397,13.6605556214141,1,8.99669652511379,0.75496209999983,0.869885400000385,"CR","TR",3,1.0277,525608,NA
1,80,4,"A",90,"small","up",0.043,"left","left",2.467,128.998573150914,-11.8383,8.8109,0.248815021326718,15.2334794807828,1,5.98197765076406,1.55529810000007,1.59177269999964,"CR","TL",3,1.374,530291,NA
1,81,4,"A",0,"big","up",0.043,"right","right",2.3005,76.9822353161143,10.8442,7.6361,1.78773086267442,14.083085572944,1,5.76531051421971,0.672476299999289,1.6535772999996,"hit","BR",1,1.1768,536277,NA
1,82,4,"A",90,"small","up",0.043,"left","left",2.5002,100.782820925915,-12.0868,9.0368,0.0942748912356012,15.8703070432082,1,6.03611981325432,1.05418779999945,1.12283839999964,"CR","BR",1,1.4604,541893,NA
1,83,4,"A",90,"small","down",0.043,"right","left",2.4008,56.8181361550928,11.8834,-9.1498,0.189803428281945,15.4352418016686,0,6.24697127697139,1.28604129999985,1.45599270000002,"FA","TL",1,1.1615,548191,NA
1,84,4,"A",90,"big","up",0.043,"left","left",2.3668,49.6326887332737,-11.6575,7.5909,1.45007396672727,14.1117931589555,1,5.87759231453747,1.60432140000012,1.73520680000001,"CR","BL",2,1.094,554092,NA
1,85,4,"A",90,"big","mid",0.043,"left","left",2.1693,43.1913655852895,-13.5101,-0.5648,1.59338089102644,13.5445885490933,1,6.2332792107429,1.22323000000051,1.48863220000021,"CR","BR",2,1.2446,559692,NA
1,86,4,"A",0,"small","mid",0.043,"left","right",2.2331,57.8239883395715,-15.0915,0,0.0915278743981158,15.5218719723279,0,6.75797617913359,1.03839160000007,1.22110220000013,"miss","TR",2,1.3087,565241,NA
1,87,4,"A",90,"small","down",0.043,"left","left",1.7501,136.342912654896,-11.8383,-9.0368,0.165878932057005,18.0830089545033,1,8.50997220660535,0.569523999999547,1.03916579999986,"CR","BR",3,1.1117,571126,NA
1,88,4,"A",90,"small","mid",0.043,"right","left",1.9501,98.2544110264591,15.1141,-0.0904,0.145567247349085,15.2425224265107,0,7.7505324901462,0.988921300000584,1.11942760000056,"FA","TR",1,1.0744,576225,NA
1,89,4,"A",90,"big","down",0.043,"left","left",2.1658,71.1319180566551,-10.8668,-7.7717,1.67119461437923,13.5924318341278,1,6.16850270721046,0.622338500000296,1.42064160000064,"CR","BL",3,1.7107,581392,NA
1,90,4,"A",0,"small","mid",0.043,"left","right",2.7335,43.7460633589536,-14.9108,-0.0226,0.0920252496620749,15.0200765282188,0,5.45488280076788,0.905602099999669,1.77202409999973,"miss","BL",2,1.4063,587609,NA
1,91,4,"A",0,"small","up",0.043,"right","right",2.9166,51.2379296230532,11.9964,8.9691,0.0311410082359006,18.0151791128694,1,5.13558307789348,1.7707233000001,1.8889164000002,"hit","BL",1,2.043,593991,NA
1,92,4,"A",0,"big","up",0.043,"left","right",2.1343,47.8506964012522,-11.4316,7.5232,1.58243251977167,14.2153737937854,0,6.4118417139946,1.05181790000006,1.52338820000023,"miss","BR",1,1.0411,601292,NA
1,93,4,"A",90,"small","mid",0.043,"left","left",2.3002,68.4475707722702,-14.843,-0.1581,0.222832112249383,14.871008768282,1,6.45337955435671,1.25527669999974,1.31946169999992,"CR","BR",3,1.9596,606606,NA
1,94,4,"A",0,"small","down",0.043,"left","right",2.8337,43.5877486856655,-12.0642,-8.9691,0.0712505501496951,15.3693582117629,0,5.30509576590684,0.822538699999313,1.75187069999993,"miss","TR",1,1.0602,613009,NA
1,95,4,"A",0,"small","down",0.043,"right","right",2.8502,62.7846344081527,11.9738,-8.9013,0.102123134695001,16.9070208572035,1,5.23469453452176,0.57019290000062,1.3398487000004,"hit","BR",1,1.243,619241,NA
1,96,4,"A",0,"big","mid",0.043,"right","right",1.8008,99.7431092042416,13.5553,-0.0678,1.44632435081365,19.4034357247821,1,7.52735582734266,0.822897300000477,0.870382600000084,"hit","BL",4,0.744,625674,NA
1,97,4,"A",0,"big","mid",0.043,"right","right",1.8001,34.1862182258735,13.2616,0.2485,1.75610578974047,13.3043363543354,1,7.36862448006764,0.938915400000042,1.07440550000047,"hit","TR",3,3.143,668408,NA
1,98,4,"A",0,"small","up",0.043,"right","right",1.5324,98.9739992901665,12.1094,8.9691,0.113659989243796,15.4754065523063,1,9.83383772254835,0.538497700000335,0.787612299999637,"hit","TR",3,1.1117,675492,NA
1,99,4,"A",0,"small","mid",0.043,"right","right",2.0507,58.8612651716652,15.0012,0,0.00115944401249557,16.3165224869972,1,7.31525933126427,0.569580100000167,1.00372870000047,"hit","TL",2,0.994,680474,NA
1,100,4,"A",90,"small","down",0.043,"right","left",2.9834,50.7046474703225,11.8834,-9.1272,0.17253112088554,15.6425874206139,0,5.02255969274075,1.52137089999997,1.8722628000005,"FA","BL",1,1.0087,685657,NA
1,101,4,"A",90,"small","up",0.043,"left","left",2.4333,55.1759146847651,-11.9964,9.0594,0.0595435212234841,15.2009063481178,1,6.17796877005763,1.45561220000036,1.55574830000023,"CR","TR",2,2.2273,691990,NA
1,102,4,"A",0,"small","down",0.043,"right","right",1.5671,91.2379127128093,12.132,-9.2402,0.274037413687194,15.3771007632763,1,9.73116617038059,0.785276099999464,0.854913499999384,"hit","BR",2,1.1597,698790,NA
1,103,4,"A",90,"small","down",0.043,"left","left",1.8324,50.7265731742538,-12.1771,-9.1498,0.231995290683275,15.5414286372824,1,8.31243299971443,0.588179699999273,1.05250879999949,"CR","TL",2,1.1793,703656,NA
1,104,4,"A",0,"small","mid",0.043,"right","right",2.1503,45.0220927515447,14.8656,-0.0678,0.150516319905744,14.9610746503479,1,6.91347089200285,0.884852399999545,1.08631530000002,"hit","BL",1,0.7758,709010,NA
1,105,4,"A",90,"big","mid",0.043,"right","left",2.3167,138.729241556324,14.1427,0.0452,0.858530485348632,14.2391467868869,0,6.10467150020515,1.43610239999998,1.47228809999979,"FA","BR",2,1.2789,714073,NA
1,106,4,"A",0,"big","mid",0.043,"left","right",2.0328,59.463219651145,-13.3293,0.113,1.67447104623603,13.3321519281904,0,6.55727212640836,1.02224959999967,1.40487029999986,"miss","TL",3,1.1567,719906,NA
1,107,4,"A",0,"big","mid",0.043,"right","right",2.5334,165.305733847613,13.6908,0.0226,1.30937771410084,23.3218426533095,1,5.4040574469369,0.989153800000167,1.22196360000089,"hit","-1",0,1.3606,730573,NA
1,108,4,"A",0,"small","down",0.043,"right","right",1.9002,90.5729653116602,11.7931,-8.9013,0.229258379345472,15.7176340385599,1,7.77583180559834,0.53516639999998,1.06850590000067,"hit","BL",3,1.243,736806,NA
1,109,4,"A",90,"big","up",0.043,"left","left",1.9334,67.0628398729779,-11.409,8.2461,0.957914508632626,14.4677090030615,1,7.28118196789026,1.01919569999973,1.25568349999958,"CR","TR",1,1.1624,742290,NA
1,110,4,"A",0,"big","down",0.043,"right","right",2.4339,44.5132349637649,10.3698,-9.0143,1.63028490080303,13.8853071946473,1,5.64526079301803,1.15712520000034,1.45188099999996,"hit","TR",2,1.5253,747723,NA
1,111,4,"A",90,"big","up",0.043,"left","left",1.5667,51.1054649034189,-11.2057,7.2747,1.89940478112951,13.5571587095309,1,8.52758953936466,0.736563299999943,0.919617900000048,"CR","BL",2,1.2422,754022,NA
1,112,4,"A",90,"small","up",0.043,"left","left",2.5662,42.9925135440823,-12.1546,8.9465,0.163559993626642,16.4052582735703,1,5.88109296445565,1.23861360000046,1.47133450000001,"CR","TR",2,1.5284,758975,NA
1,113,4,"A",90,"small","mid",0.043,"left","left",2.2497,63.8097950300232,-15.0012,-0.0678,0.0677862393207184,15.2814774892052,1,6.66813051287636,1.3056945999997,1.43798700000025,"CR","TR",3,1.1468,765207,NA
1,114,4,"A",90,"big","mid",0.043,"left","left",2.0162,48.3586795633256,-13.3971,-0.61,1.71502447358201,13.4751467272695,1,6.65146614821303,1.18560720000005,1.35556970000016,"CR","TL",2,2.2735,770939,NA
1,115,4,"A",0,"big","up",0.043,"right","right",2.0838,103.120677525731,10.7087,7.975,1.64868369147686,17.7405217113556,1,6.40757262061413,0.6398494999994,1.02272339999945,"hit","BR",2,2.6283,777373,NA
1,116,4,"A",90,"big","down",0.043,"left","left",1.9998,54.4305552325735,-10.7764,-8.3817,1.37092674285549,13.8259398291168,1,6.82684277738223,0.736075600000731,1.11849170000005,"CR","TL",3,0.9803,784322,NA
1,117,4,"A",0,"big","up",0.043,"right","right",1.6355,51.0863285187268,11.4542,7.4554,1.63820092225925,13.8255419860164,1,8.35627372877139,0.752844300000106,0.903059299999768,"hit","BL",2,1.3755,789540,NA
1,118,4,"A",0,"big","down",0.043,"right","right",2.1851,67.9963198002662,10.5505,-8.6754,1.48539355962405,13.8600235875006,1,6.25116757967923,1.05439630000001,1.21947159999945,"hit","TL",2,1.0921,794789,NA
1,119,4,"A",90,"small","mid",0.043,"left","left",2.1498,76.17975124385,-14.956,-0.0904,0.100521807026332,15.1028417733031,1,6.95696209017848,1.0521662000001,1.22127369999998,"CR","TL",2,1.6279,800207,NA
1,120,4,"A",90,"small","mid",0.043,"right","left",1.9501,66.1458281271235,14.7978,-0.0678,0.213227921503756,17.7262956338387,0,7.58827048943258,0.555569000000105,0.954332999999679,"FA","BR",1,2.5223,811555,NA
